"icao","elevation_ft","heading_deg","frequency_mhz","range_nm","ident","runway"
"KSNS","78","314.93234","108.5","27","ISNS","ILS RW31"
"KWVI","163","18.088396","108.3","27","IAYN","ILS RW02"
"KSBP","172","109.87539","109.7","27","ISBP","ILS RW11"
"KSMX","220","120.60117","108.9","27","ISMX","ILS RW12"
"KVBG","246","125","110.1","27","IBVD","ILS RW12"
"KVBG","352","305","110.1","27","IVBG","ILS RW30"
"CYQU","2189","296.93198","109.9","27","IQU","ILS RW30"
"CYLW","1394","158.85788","111.3","27","ILW","ILS RW16"
"CYYF","1130","165.39832","110.3","27","XYF","ILS RW16"
"KSZT","2131","18.069284","109.1","27","IRPO","ILS RW02"
"KMWH","1164","324.1978","109.5","27","IMWH","ILS RW32R"
"KGEG","2372","31.413263","111.1","27","IOLJ","ILS RW03"
"KGEG","2324","211.41327","111.1","27","IGEG","ILS RW21"
"KSFF","1955","221.2","111.7","27","IFLZ","ILS RW22R"
"KSKA","2467","51","110.3","27","IFRC","ILS RW05"
"KSKA","2412","231","110.3","27","ISKA","ILS RW23"
"KCOE","2306","50.97343","110.7","27","ICOE","ILS RW06"
"KPUW","2552","49.6","110.35","27","IPUW","ILS RW05"
"KPSC","401","210.62634","108.7","27","IPSC","ILS RW21R"
"KRLD","394","188.53658","110.5","27","IRLD","ILS RW19"
"KALW","1193","196.08919","111.7","27","IALW","ILS RW20"
"KPDT","1487","253.84645","110.3","27","IPDT","ILS RW26"
"KLWS","1432","263.85428","109.7","27","ILWS","ILS RW26"
"KRTS","5045","318","111.9","27","IRTS","ILS RW32"
"KRNO","4408","164.12193","110.9","27","IRNO","ILS RW16R"
"KRNO","4402","344.12195","109.9","27","IAGY","ILS RW34L"
"KTVL","6268","171.4","108.9","27","ITVL","ILS RW18"
"KBIH","4124","140.7","109.1","27","IBIH","ILS RW17"
"KFAT","336","112.47101","111.3","27","IRPW","ILS RW11L"
"KFAT","332","292.471","111.3","27","IFAT","ILS RW29R"
"KTNX","5482","141","108.3","27","IRVP","ILS RW14"
"KTNX","5555","321","111.7","27","IUVV","ILS RW32"
"KVIS","293","300.92328","108.5","27","IVIS","ILS RW30"
"KBFL","479","301.47357","111.9","27","IBFL","ILS RW30R"
"KNTD","10","212","109.3","27","IRRG","ILS RW21"
"KOXR","41","255.51996","108.7","27","IOXR","ILS RW25"
"KSBA","10","74.53979","110.3","27","ISBA","ILS RW07"
"KBUR","725","78.90239","109.5","27","IBUR","ILS RW08"
"KHHR","66","252.74254","109.1","27","IHHR","ILS RW25"
"KLAX","111","70.95355","108.5","27","IUWU","ILS RW06L"
"KLAX","108","70.96431","111.7","27","IGPE","ILS RW06R"
"KLAX","120","70.9609","111.1","27","IIAS","ILS RW07L"
"KLAX","118","70.94587","109.9","27","IMKZ","ILS RW07R"
"KLAX","117","250.96431","111.7","27","IHQB","ILS RW24L"
"KLAX","117","250.95355","108.5","27","IOSS","ILS RW24R"
"KLAX","97","250.94586","109.9","27","ILAX","ILS RW25L"
"KLAX","98","250.9609","111.1","27","ICFN","ILS RW25R"
"KLGB","32","300.84564","110.3","27","ILGB","ILS RW30"
"KTOA","92","294.57132","111.9","27","ITOA","ILS RW29R"
"KVNY","784","163.52806","111.3","27","IVNY","ILS RW16R"
"KEDW","2276","226","110.1","27","IEDW","ILS RW23L"
"KPMD","2492","254.15833","110.7","27","IPMD","ILS RW25"
"KVCV","2815","165.53787","108.75","27","IVCV","ILS RW17"
"KCNO","631","255.45409","111.5","27","ICNO","ILS RW26R"
"KFUL","96","242.97699","108.9","27","IFUL","ILS RW24"
"KONT","936","77.95577","109.7","27","IAOD","ILS RW08L"
"KONT","925","257.9822","111.35","27","ITWO","ILS RW26L"
"KONT","926","257.95578","109.7","27","IONT","ILS RW26R"
"KPOC","1004","259.2141","110.5","27","IPOC","ILS RW26L"
"KRAL","761","89.1268","110.9","27","IRAL","ILS RW09"
"KRIV","1484","315","110.1","27","IRIV","ILS RW32"
"KSBD","1087","57.36374","109.3","27","ISBD","ILS RW06"
"KNSI","498","301","109.7","27","INSI","ILS RW30"
"KCRQ","315","245.04654","108.7","27","ICRQ","ILS RW24"
"KSNA","56","182.9","108.3","27","IOJW","ILS RW20R"
"KSNA","43","195.9","111.75","27","ISNA","ILS RW20R"
"KSAN","17","275.05655","110.9","27","IUBR","ILS RW27"
"KSAN","16","95.05656","111.55","27","ISAN","ILS RW09"
"KMYF","419","281.07956","111.95","27","IMYF","ILS RW28R"
"KNKX","469","243","111.15","27","INKX","ILS RW24R"
"KSEE","388","269.1439","110.5","27","ISEE","ILS RW27R"
"MMTJ","487","86.919785","111.5","27","ITIJ","ILS RW09"
"CYZF","669","339.95108","109.5","27","IZF","ILS RW34"
"CYHY","535","322","110.3","27","IHY","ILS RW32"
"CZVL","2222","266.01697","111.95","27","IVL","ILS RW26"
"CYEG","2326","19.864786","110.3","27","IEG","ILS RW02"
"CYEG","2349","119.92167","109.9","27","IFP","ILS RW12"
"CYEG","2375","299.92166","109.1","27","IKB","ILS RW30"
"CYBW","3940","344.97546","111.7","27","IBW","ILS RW35"
"CYYC","3545","105.12357","110.55","27","IGY","ILS RW11"
"CYYC","3603","165.04916","109.15","27","ILG","ILS RW17L"
"CYYC","3554","165.03026","109.3","27","IEM","ILS RW17R"
"CYYC","3542","285.12357","110.9","27","IAQ","ILS RW29"
"CYYC","3546","345.03024","111.5","27","IYC","ILS RW35L"
"CYYC","3575","345.04916","110.75","27","IRF","ILS RW35R"
"CYXC","3035","164.18617","110.3","27","IXC","ILS RW16"
"CYQL","3040","56.05263","109.5","27","IQL","ILS RW06"
"KGPI","2958","19.72207","111.5","27","IGPI","ILS RW02"
"KMSO","3191","117.56267","109.3","27","IMSO","ILS RW12"
"KBOI","2824","102.27301","111.1","27","IBOI","ILS RW10R"
"KBOI","2861","282.2648","110.15","27","IAAD","ILS RW28R"
"KMUO","2994","302","111.7","27","IBRN","ILS RW30"
"KMUO","2983","122","110.3","27","IMUO","ILS RW12"
"KTWF","4152","258.3303","108.3","27","ITWF","ILS RW26"
"KPIH","4450","210.8196","110.3","27","IPIH","ILS RW21"
"KEKO","5140","242.6","108.5","27","IEKO","ILS RW24"
"KCDC","5592","200.13606","110.1","27","IECC","ILS RW20"
"KSGU","2875","198.2","110.9","27","ISGU","ILS RW19"
"KLAS","2158","13.801344","110.1","27","ICUA","ILS RW01L"
"KLAS","2050","258.91183","111.5","27","IRLE","ILS RW26L"
"KLAS","2047","258.91904","110.3","27","ILAS","ILS RW26R"
"KLSV","1856","209","109.1","27","IDIQ","ILS RW21L"
"KVGT","2178","120.450325","110.7","27","IHWG","ILS RW12L"
"KNYL","189","213","108.3","27","IYUM","ILS RW21R"
"CYFI","1762","345.9951","110.5","27","ISR","ILS RW35"
"CYMM","1210","254.98459","109.9","27","IMM","ILS RW26"
"CYOD","1775","309.7988","109.3","27","IOD","ILS RW31R"
"KGTF","3668","31.836147","111.3","27","ISMR","ILS RW03"
"KHLN","3841","266.72955","110.1","27","IHLN","ILS RW27"
